MSNO,total_dur,PostalCode
4159201,4680.0,640261
4159501,1560.0,640209
4159601,1890.0,640210
4159601,1890.0,640210
4159701,1560.0,640213
4160101,2000.0,610114
4160202,32400.0,610115
4160301,3600.0,610116
4160301,3600.0,610116
4161503,360.0,640695
4161603,810.0,640695
4161603,810.0,640695
4163101,6000.0,640513
4163401,2280.0,640525
4163401,2280.0,640525
4163801,280.0,640535
4163901,1560.0,640535
4164102,900.0,641653
4164102,900.0,641653
4164304,720.0,640605
4165204,90.0,642678
4165805,975.0,642657
4165805,975.0,642657
4165805,975.0,642657
4165805,975.0,642657
4165902,360.0,641659
4166003,4125.0,642659
4166003,4125.0,642659
4166901,1500.0,640716
4166901,1500.0,640716
4166901,1500.0,640716
4169501,300.0,610327
4169901,1700.0,610181
4169901,1700.0,610181
