MSNO,total_dur,PostalCode,lat,long,address
4143501,2100.0,680405,1.38021754622899,103.739453325086,405 CHOA CHU KANG AVENUE 3 KEAT HONG LAUREL SINGAPORE 680405
4144201,600.0,680431,1.38403775540864,103.741773099201,431 CHOA CHU KANG AVENUE 4 SINGAPORE 680431
4144401,120.0,680438,1.38427313008787,103.739864729553,438 CHOA CHU KANG AVENUE 4 SINGAPORE 680438
4145101,60.0,683487,1.37651280702577,103.739137682367,487C CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 683487
4145201,300.0,684488,1.37642221610651,103.740504704448,488D CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 684488
4145401,1200.0,683490,1.37575014356152,103.741751767068,490C CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 683490
4145601,360.0,681810,1.37454644083077,103.746304172261,810A CHOA CHU KANG AVENUE 7 KEAT HONG COLOURS SINGAPORE 681810
4145701,3120.0,682811,1.37312145835945,103.745382153467,811B CHOA CHU KANG AVENUE 7 KEAT HONG COLOURS SINGAPORE 682811
4145801,560.0,680208,1.38147790367229,103.748174138819,208 CHOA CHU KANG CENTRAL HDB PUBLIC SHELTERS SINGAPORE 680208
4145901,450.0,680220,1.38193097430224,103.745583043297,220 CHOA CHU KANG CENTRAL HDB PUBLIC SHELTERS SINGAPORE 680220
4146101,6240.0,680663,1.40198475097106,103.750788391041,663 CHOA CHU KANG CRESCENT SINGAPORE 680663
4146201,600.0,680664,1.40229618504156,103.750438456359,664 CHOA CHU KANG CRESCENT SINGAPORE 680664
4146501,13500.0,680671,1.4025550181861,103.748021726542,671 CHOA CHU KANG CRESCENT SINGAPORE 680671
4146601,150.0,680677,1.40151021475963,103.745481871107,677 CHOA CHU KANG CRESCENT SINGAPORE 680677
4146701,9000.0,680680,1.40333610825505,103.745131655848,680 CHOA CHU KANG CRESCENT SINGAPORE 680680
4147201,1950.0,680342,1.38394155773497,103.746425614003,342 CHOA CHU KANG LOOP SINGAPORE 680342
4147201,1950.0,680342,1.38394155773497,103.746425614003,342 CHOA CHU KANG LOOP SINGAPORE 680342
4147501,450.0,680555,1.39628678045986,103.743678368477,555 CHOA CHU KANG NORTH 6 SINGAPORE 680555
4147701,3120.0,680618,1.4003500962761,103.746992957921,618 CHOA CHU KANG NORTH 7 SINGAPORE 680618
4147801,45.0,680619,1.40025308306096,103.74757923589,619 CHOA CHU KANG NORTH 7 SINGAPORE 680619
4148001,1200.0,680525,1.39150689178146,103.741538653261,525 CHOA CHU KANG STREET 51 SINGAPORE 680525
4148101,2400.0,680550,1.39401069858338,103.742692606674,550 CHOA CHU KANG STREET 52 SINGAPORE 680550
4148801,4680.0,680609,1.39929966313489,103.744719393752,609 CHOA CHU KANG STREET 62 SINGAPORE 680609
4148901,36000.0,680643,1.39856129024064,103.748604386179,643 CHOA CHU KANG STREET 64 SINGAPORE 680643
4149001,5760.0,680153,1.37915123926616,103.758554890844,153 JALAN TECK WHYE TECK WHYE VISTA SINGAPORE 680153
4149101,720.0,680163,1.3809102767137,103.756925824414,163 JALAN TECK WHYE SINGAPORE 680163
4149201,1560.0,681801,1.37584281436757,103.743195889916,801A KEAT HONG CLOSE KEAT HONG CREST SINGAPORE 681801
4149301,6240.0,682801,1.37582471905172,103.742823385612,801B KEAT HONG CLOSE KEAT HONG CREST SINGAPORE 682801
4149501,1500.0,680005,1.38211439144289,103.75356509712,5 TECK WHYE AVENUE TECK WHYE HEIGHTS I SINGAPORE 680005
4149601,1440.0,682166,1.38315989308266,103.753400918803,166B TECK WHYE CRESCENT TECK WHYE CREST SINGAPORE 682166
4149701,150.0,680110,1.37823695284901,103.752208325828,110 TECK WHYE LANE SINGAPORE 680110
4149801,3120.0,680115,1.37893677955462,103.751182368998,115 TECK WHYE LANE SINGAPORE 680115
4150101,3120.0,680134,1.38026609488201,103.750956814968,134 TECK WHYE LANE SINGAPORE 680134
4150201,3000.0,680015,1.37913357256794,103.7547387164,15 TECK WHYE LANE TECK WHYE HEIGHTS III SINGAPORE 680015
4150301,5760.0,680019,1.37939429441995,103.752949446949,19 TECK WHYE LANE PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG 19 (CC) SINGAPORE 680019
4150501,1040.0,120421,1.30909798702908,103.768355913054,421 CLEMENTI AVENUE 1 CASA CLEMENTI SINGAPORE 120421
4150601,1500.0,120423,1.30945612208303,103.769918822857,423 CLEMENTI AVENUE 1 CASA CLEMENTI SINGAPORE 120423
4150901,720.0,120349,1.31595863810442,103.771054408276,349 CLEMENTI AVENUE 2 SINGAPORE 120349
4151001,1560.0,120356,1.31395967091571,103.769831365969,356 CLEMENTI AVENUE 2 SINGAPORE 120356
4151101,3120.0,120364,1.31240641918888,103.768752275192,364 CLEMENTI AVENUE 2 SINGAPORE 120364
4151201,2160.0,120429,1.31291218870832,103.762860973019,429 CLEMENTI AVENUE 3 SINGAPORE 120429
4151301,12000.0,120435,1.31456210565181,103.76253024021,435 CLEMENTI AVENUE 3 SINGAPORE 120435
4151401,90.0,121441,1.31463913092205,103.764797687774,441A CLEMENTI AVENUE 3 CLEMENTI TOWERS SINGAPORE 121441
4151601,200.0,122445,1.31266626044778,103.764623618127,445B CLEMENTI AVENUE 3 CLEMENTI CREST SINGAPORE 122445
4151701,400.0,120460,1.31115141655133,103.766935151813,460 CLEMENTI AVENUE 3 SINGAPORE 120460
4151801,540.0,120462,1.31109876019725,103.765906379277,462 CLEMENTI AVENUE 3 SINGAPORE 120462
4151901,1710.0,120306,1.32143826057396,103.765901268051,306 CLEMENTI AVENUE 4 CLEMENTI MEADOWS SINGAPORE 120306
4152001,1950.0,120306,1.32143826057396,103.765901268051,306 CLEMENTI AVENUE 4 CLEMENTI MEADOWS SINGAPORE 120306
4152101,6240.0,120307,1.321415896635,103.76710548935,307 CLEMENTI AVENUE 4 CLEMENTI MEADOWS SINGAPORE 120307
4152201,870.0,121311,1.31911656776897,103.765492195959,311A CLEMENTI AVENUE 4 TRIVELIS SINGAPORE 121311
4152301,120.0,120315,1.31847036567508,103.765419463873,315 CLEMENTI AVENUE 4 CLEMENTI MEADOWS SINGAPORE 120315
4152701,2340.0,120346,1.31701655142406,103.770055178868,346 CLEMENTI AVENUE 5 SINGAPORE 120346
4152801,2340.0,120377,1.31756398951141,103.767975202583,377 CLEMENTI AVENUE 5 SINGAPORE 120377
4153101,1530.0,120206,1.32150115847495,103.762228657544,206 CLEMENTI AVENUE 6 SINGAPORE 120206
4153201,60.0,121208,1.3219234293777,103.762384826925,208A CLEMENTI AVENUE 6 CLEMENTI GATEWAY SINGAPORE 121208
4153401,780.0,120601,1.30477461299303,103.765253754328,601 CLEMENTI WEST STREET 1 SINGAPORE 120601
4153501,18720.0,120604,1.30542777397595,103.767493297152,604 CLEMENTI WEST STREET 1 SINGAPORE 120604
4153701,4680.0,120707,1.30628748271347,103.762394965532,707 CLEMENTI WEST STREET 2 SINGAPORE 120707
4154001,2280.0,120730,1.304777153125,103.763121970707,730 CLEMENTI WEST STREET 2 SINGAPORE 120730
4154501,4000.0,601318,1.3476235248659,103.731009078651,318A JURONG EAST AVENUE 1 GOLDEN WILLOWS SINGAPORE 601318
4154601,12775.0,600331,1.35082650419629,103.73042009299,331 JURONG EAST AVENUE 1 SINGAPORE 600331
4154701,12775.0,600331,1.35082650419629,103.73042009299,331 JURONG EAST AVENUE 1 SINGAPORE 600331
4154801,9000.0,600109,1.3383617052828,103.735911158508,109 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600109
4155101,3000.0,600214,1.33928625957387,103.738985189412,214 JURONG EAST STREET 21 SINGAPORE 600214
4155601,4320.0,600228,1.34257472073046,103.736290436718,228 JURONG EAST STREET 21 SINGAPORE 600228
4156201,43800.0,600323,1.34839013731603,103.728986352199,323 JURONG EAST STREET 31 SINGAPORE 600323
4157001,16425.0,600372,1.34865823382569,103.731789499274,372 JURONG EAST STREET 32 JURONG EAST COURT SINGAPORE 600372
4157101,14600.0,600374,1.34961239369679,103.732548011802,374 JURONG EAST STREET 32 JURONG EAST COURT SINGAPORE 600374
4157201,1200.0,600415,1.32076543342048,103.748258626828,415 PANDAN GARDENS SINGAPORE 600415
